C10, 17.78, 55.88, 90.00, 1uf, A/3216-18R
C11, 24.13, 55.88, 270.00, 1uf, A/3216-18R
C12, 27.94, 55.88, 270.00, 1uf, A/3216-18R
C13, 21.59, 55.88, 90.00, 1uf, A/3216-18R
C16, 19.05, 74.93, 90.00, 1uf, A/3216-18R
C6, 49.53, 72.39, 0.00, 10uf, 153CLV-0405
IC1, 38.10, 64.77, 0.00, PCF8574T, SO16W
J3, 76.95, 94.18, 0.00, 105133-0001, MOLEX_105133-0001
LED1, 77.47, 87.63, 0.00, , SML0603
LED2, 35.56, 55.88, 90.00, , SML0603
LED3, 39.37, 55.88, 90.00, , SML0603
LED4, 43.18, 55.88, 90.00, , SML0603
MAX232, 22.86, 64.77, 0.00, MAX232ECWE, SO16L
R16, 20.32, 45.72, 0.00, , 3223G
S1, 46.99, 92.71, 270.00, 5-1437565-0, SW_5-1437565-0
S2, 17.78, 92.71, 90.00, 5-1437565-0, SW_5-1437565-0
S3, 57.15, 92.71, 0.00, 219-02, CTS-219-02
U$1, 32.63, 84.01, 0.00, ESP32-WROOM-32, ESP32-WROOM-32
U$2, 60.96, 63.50, 0.00, ENC28J60/SO, SOIC127P1034X264-28N
U1, 67.31, 85.09, 270.00, CP2102N-A01-GQFN28, QFN50P500X500X80-29N
U2, 10.16, 81.28, 180.00, AMS1117, SOT229P700X180-4N
U3, 22.86, 25.40, 0.00, DS1307Z+, SOIC127P600X175-8N
U4, 22.86, 36.83, 0.00, CAT24C32WI-GT3, SOIC127P600X175-8N
